Date_UTC,Time_UTC,Date_CST,Time_CST,Lake_Visible,LES_Exist
20121007,8:00,20121007,2:00,N,N
20121007,9:00,20121007,3:00,N,N
20121007,10:00,20121007,4:00,N,N
20121007,11:00,20121007,5:00,N,N
20121007,12:00,20121007,6:00,N,N
20121007,13:00,20121007,7:00,N,N
20121007,14:00,20121007,8:00,N,N
20121007,15:00,20121007,9:00,Y,Y
20121007,16:00,20121007,10:00,Y,Y
20121007,17:00,20121007,11:00,Y,Y
20121007,18:00,20121007,12:00,Y,Y
20121007,19:00,20121007,13:00,Y,Y
20121007,20:00,20121007,14:00,Y,Y
20121007,21:00,20121007,15:00,Y,Y
20121007,22:00,20121007,16:00,Y,Y
20121007,23:00,20121007,17:00,Y,Y
20121008,0:00,20121007,18:00,N,N
20121008,1:00,20121007,19:00,N,N
20121008,2:00,20121007,20:00,N,N
20121008,3:00,20121007,21:00,N,N
20121008,4:00,20121007,22:00,N,N
20121008,5:00,20121007,23:00,N,N
20121008,6:00,20121008,0:00,N,N
20121008,7:00,20121008,1:00,N,N
20121008,8:00,20121008,2:00,N,N
20121008,9:00,20121008,3:00,N,N
20121008,10:00,20121008,4:00,N,N
20121008,11:00,20121008,5:00,N,N
20121008,12:00,20121008,6:00,N,N
20121008,13:00,20121008,7:00,N,N
20121008,14:00,20121008,8:00,N,N
20121008,15:00,20121008,9:00,Y,Y
20121008,16:00,20121008,10:00,Y,Y
20121008,17:00,20121008,11:00,Y,Y
20121008,18:00,20121008,12:00,Y,Y
20121008,19:00,20121008,13:00,Y,Y
20121008,20:00,20121008,14:00,Y,Y
20121008,21:00,20121008,15:00,Y,Y
20121008,22:00,20121008,16:00,Y,Y
20121008,23:00,20121008,17:00,Y,Y
20121009,0:00,20121008,18:00,N,N
20121009,1:00,20121008,19:00,N,N
20121009,2:00,20121008,20:00,N,N
20121009,3:00,20121008,21:00,N,N
20121009,4:00,20121008,22:00,N,N
20121009,5:00,20121008,23:00,N,N
20121009,6:00,20121009,0:00,N,N
20121009,7:00,20121009,1:00,N,N
20121009,8:00,20121009,2:00,N,N
20121009,9:00,20121009,3:00,N,N
20121009,10:00,20121009,4:00,N,N
20121009,11:00,20121009,5:00,N,N
20121009,12:00,20121009,6:00,N,N
20121009,13:00,20121009,7:00,N,N
20121009,14:00,20121009,8:00,N,N
20121009,15:00,20121009,9:00,Y,Y
20121009,16:00,20121009,10:00,Y,Y
20121009,17:00,20121009,11:00,Y,Y
20121009,18:00,20121009,12:00,Y,Y
20121009,19:00,20121009,13:00,Y,Y
20121009,20:00,20121009,14:00,Y,Y
20121009,21:00,20121009,15:00,Y,Y
20121009,22:00,20121009,16:00,Y,Y
20121009,23:00,20121009,17:00,Y,Y
20121010,0:00,20121009,18:00,N,N
20121010,1:00,20121009,19:00,N,N
20121010,2:00,20121009,20:00,N,N
20121010,3:00,20121009,21:00,N,N
20121010,4:00,20121009,22:00,N,N
20121010,5:00,20121009,23:00,N,N
20121010,6:00,20121010,0:00,N,N
20121010,7:00,20121010,1:00,N,N
20121010,8:00,20121010,2:00,N,N
20121010,9:00,20121010,3:00,N,N
20121010,10:00,20121010,4:00,N,N
20121010,11:00,20121010,5:00,N,N
20121010,12:00,20121010,6:00,N,N
20121010,13:00,20121010,7:00,N,N
20121010,14:00,20121010,8:00,N,N
20121010,15:00,20121010,9:00,Y,Y
20121010,16:00,20121010,10:00,Y,Y
20121010,17:00,20121010,11:00,Y,Y
20121010,18:00,20121010,12:00,Y,Y
20121010,19:00,20121010,13:00,Y,Y
20121010,20:00,20121010,14:00,Y,Y
20121010,21:00,20121010,15:00,Y,Y
20121010,22:00,20121010,16:00,Y,Y
20121010,23:00,20121010,17:00,Y,Y
20121011,0:00,20121010,18:00,N,N
20121011,1:00,20121010,19:00,N,N
20121011,2:00,20121010,20:00,N,N
20121011,3:00,20121010,21:00,N,N
20121011,4:00,20121010,22:00,N,N
20121011,5:00,20121010,23:00,N,N
20121011,6:00,20121011,0:00,N,N
20121011,7:00,20121011,1:00,N,N
20121011,8:00,20121011,2:00,N,N
20121011,9:00,20121011,3:00,N,N
20121011,10:00,20121011,4:00,N,N
20121011,11:00,20121011,5:00,N,N
20121011,12:00,20121011,6:00,N,N
20121011,13:00,20121011,7:00,N,N
20121011,14:00,20121011,8:00,N,N
20121011,15:00,20121011,9:00,Y,Y
20121011,16:00,20121011,10:00,Y,Y
20121011,17:00,20121011,11:00,Y,Y
20121011,18:00,20121011,12:00,Y,Y
20121011,19:00,20121011,13:00,Y,Y
20121011,20:00,20121011,14:00,Y,Y
20121011,21:00,20121011,15:00,Y,Y
20121011,22:00,20121011,16:00,Y,Y
20121011,23:00,20121011,17:00,Y,Y
20121012,0:00,20121011,18:00,N,N
20121012,1:00,20121011,19:00,N,N
20121012,2:00,20121011,20:00,N,N
20121012,3:00,20121011,21:00,N,N
20121012,4:00,20121011,22:00,N,N
20121012,5:00,20121011,23:00,N,N
20121012,6:00,20121012,0:00,N,N
20121012,7:00,20121012,1:00,N,N
20121012,8:00,20121012,2:00,N,N
20121012,9:00,20121012,3:00,N,N
20121012,10:00,20121012,4:00,N,N
20121012,11:00,20121012,5:00,N,N
20121012,12:00,20121012,6:00,N,N
20121012,13:00,20121012,7:00,N,N
20121012,14:00,20121012,8:00,N,N
20121012,15:00,20121012,9:00,Y,Y
20121012,16:00,20121012,10:00,Y,Y
20121012,17:00,20121012,11:00,Y,Y
20121012,18:00,20121012,12:00,Y,Y
20121012,19:00,20121012,13:00,Y,Y
20121012,20:00,20121012,14:00,Y,Y
20121012,21:00,20121012,15:00,Y,Y
20121012,22:00,20121012,16:00,Y,Y
20121012,23:00,20121012,17:00,Y,Y
20121013,0:00,20121012,18:00,N,N
20121013,1:00,20121012,19:00,N,N
20121013,2:00,20121012,20:00,N,N
20121013,3:00,20121012,21:00,N,N
20121013,4:00,20121012,22:00,N,N
20121013,5:00,20121012,23:00,N,N
20121013,6:00,20121013,0:00,N,N
20121013,7:00,20121013,1:00,N,N
20121013,8:00,20121013,2:00,N,N
20121013,9:00,20121013,3:00,N,N
20121013,10:00,20121013,4:00,N,N
20121013,11:00,20121013,5:00,N,N
20121013,12:00,20121013,6:00,N,N
20121013,13:00,20121013,7:00,N,N
20121013,14:00,20121013,8:00,N,N
20121013,15:00,20121013,9:00,Y,Y
20121013,16:00,20121013,10:00,Y,Y
20121013,17:00,20121013,11:00,Y,Y
20121013,18:00,20121013,12:00,Y,Y
20121013,19:00,20121013,13:00,Y,Y
